Country Code|Hotel No|Post Code|Room price limit|Roomprice tax %|Breakfast tax %|Deduction type|Deductible amount
||10717||||after tax|5,00000000000000000000
||10718||||after tax|5,00000000000000000000
||10719||||after tax|5,00000000000000000000
||10777||||after tax|5,00000000000000000000
||10779||||after tax|5,00000000000000000000
||10781||||after tax|5,00000000000000000000
||10783||||after tax|5,00000000000000000000
||10785||||after tax|5,00000000000000000000
||10787||||after tax|5,00000000000000000000
||10789||||after tax|5,00000000000000000000
||10823||||after tax|5,00000000000000000000
||10827||||after tax|5,00000000000000000000
||10829||||after tax|5,00000000000000000000
||10888||||after tax|5,00000000000000000000
||10957||||after tax|5,00000000000000000000
||10961||||after tax|5,00000000000000000000
||10963||||after tax|5,00000000000000000000
||10965||||after tax|5,00000000000000000000
||10967||||after tax|5,00000000000000000000
||10969||||after tax|5,00000000000000000000
||10997||||after tax|5,00000000000000000000
||10999||||after tax|5,00000000000000000000
||12005||||after tax|5,00000000000000000000
||12043||||after tax|5,00000000000000000000
||12047||||after tax|5,00000000000000000000
||12049||||after tax|5,00000000000000000000
||12051||||after tax|5,00000000000000000000
||12053||||after tax|5,00000000000000000000
||12055||||after tax|5,00000000000000000000
||12057||||after tax|5,00000000000000000000
||12099||||after tax|5,00000000000000000000
||12101||||after tax|5,00000000000000000000
||12103||||after tax|5,00000000000000000000
||12105||||after tax|5,00000000000000000000
||12107||||after tax|5,00000000000000000000
||12109||||after tax|5,00000000000000000000
||12157||||after tax|5,00000000000000000000
||12159||||after tax|5,00000000000000000000
||12161||||after tax|5,00000000000000000000
||12163||||after tax|5,00000000000000000000
||12165||||after tax|5,00000000000000000000
||12167||||after tax|5,00000000000000000000
||12169||||after tax|5,00000000000000000000
||12203||||after tax|5,00000000000000000000
||12205||||after tax|5,00000000000000000000
||12207||||after tax|5,00000000000000000000
||12209||||after tax|5,00000000000000000000
||12247||||after tax|5,00000000000000000000
||12249||||after tax|5,00000000000000000000
||12277||||after tax|5,00000000000000000000
||12305||||after tax|5,00000000000000000000
||12307||||after tax|5,00000000000000000000
||12309||||after tax|5,00000000000000000000
||12347||||after tax|5,00000000000000000000
||12351||||after tax|5,00000000000000000000
||12357||||after tax|5,00000000000000000000
||12359||||after tax|5,00000000000000000000
||12435||||after tax|5,00000000000000000000
||12439||||after tax|5,00000000000000000000
||12459||||after tax|5,00000000000000000000
||12487||||after tax|5,00000000000000000000
||12489||||after tax|5,00000000000000000000
||12526||||after tax|5,00000000000000000000
||12527||||after tax|5,00000000000000000000
||12529||||after tax|5,00000000000000000000
||12555||||after tax|5,00000000000000000000
||12557||||after tax|5,00000000000000000000
||12559||||after tax|5,00000000000000000000
||12587||||after tax|5,00000000000000000000
||12589||||after tax|5,00000000000000000000
||12621||||after tax|5,00000000000000000000
||12623||||after tax|5,00000000000000000000
||12627||||after tax|5,00000000000000000000
||12681||||after tax|5,00000000000000000000
||12683||||after tax|5,00000000000000000000
||12685||||after tax|5,00000000000000000000
||13051||||after tax|5,00000000000000000000
||13053||||after tax|5,00000000000000000000
||13055||||after tax|5,00000000000000000000
||13086||||after tax|5,00000000000000000000
||13088||||after tax|5,00000000000000000000
||13089||||after tax|5,00000000000000000000
||13125||||after tax|5,00000000000000000000
||13127||||after tax|5,00000000000000000000
||13129||||after tax|5,00000000000000000000
||13156||||after tax|5,00000000000000000000
||13187||||after tax|5,00000000000000000000
||13189||||after tax|5,00000000000000000000
||13347||||after tax|5,00000000000000000000
||13349||||after tax|5,00000000000000000000
||13353||||after tax|5,00000000000000000000
||13355||||after tax|5,00000000000000000000
||13357||||after tax|5,00000000000000000000
||13359||||after tax|5,00000000000000000000
||13403||||after tax|5,00000000000000000000
||13405||||after tax|5,00000000000000000000
||13407||||after tax|5,00000000000000000000
||13409||||after tax|5,00000000000000000000
||13435||||after tax|5,00000000000000000000
||13465||||after tax|5,00000000000000000000
||13467||||after tax|5,00000000000000000000
||13469||||after tax|5,00000000000000000000
||13503||||after tax|5,00000000000000000000
||13505||||after tax|5,00000000000000000000
||13507||||after tax|5,00000000000000000000
||13509||||after tax|5,00000000000000000000
||13581||||after tax|5,00000000000000000000
||13583||||after tax|5,00000000000000000000
||13585||||after tax|5,00000000000000000000
||13587||||after tax|5,00000000000000000000
||13591||||after tax|5,00000000000000000000
||13593||||after tax|5,00000000000000000000
||13595||||after tax|5,00000000000000000000
||13597||||after tax|5,00000000000000000000
||13627||||after tax|5,00000000000000000000
||13629||||after tax|5,00000000000000000000
||13661||||after tax|5,00000000000000000000
||14050||||after tax|5,00000000000000000000
||14052||||after tax|5,00000000000000000000
||14055||||after tax|5,00000000000000000000
||14057||||after tax|5,00000000000000000000
||14059||||after tax|5,00000000000000000000
||14089||||after tax|5,00000000000000000000
||14109||||after tax|5,00000000000000000000
||14129||||after tax|5,00000000000000000000
||14163||||after tax|5,00000000000000000000
||14165||||after tax|5,00000000000000000000
||14167||||after tax|5,00000000000000000000
||14169||||after tax|5,00000000000000000000
||14193||||after tax|5,00000000000000000000
||14195||||after tax|5,00000000000000000000
||14197||||after tax|5,00000000000000000000
||14199||||after tax|5,00000000000000000000
||14467||||after tax|5,00000000000000000000
||14471||||after tax|5,00000000000000000000
||14482||||after tax|5,00000000000000000000
||14513||||after tax|5,00000000000000000000
||14979||||after tax|5,00000000000000000000
||15831||||after tax|5,00000000000000000000
||16283||||after tax|5,00000000000000000000
||16321||||after tax|5,00000000000000000000
||16540||||after tax|5,00000000000000000000
||50447||||after tax|5,00000000000000000000
||50449||||after tax|5,00000000000000000000
||50450||||after tax|5,00000000000000000000
||50475||||after tax|5,00000000000000000000
||50517||||after tax|5,00000000000000000000
||50523||||after tax|5,00000000000000000000
||50524||||after tax|5,00000000000000000000
||50667||||after tax|5,00000000000000000000
||50668||||after tax|5,00000000000000000000
||50670||||after tax|5,00000000000000000000
||50672||||after tax|5,00000000000000000000
||50674||||after tax|5,00000000000000000000
||50676||||after tax|5,00000000000000000000
||50677||||after tax|5,00000000000000000000
||50678||||after tax|5,00000000000000000000
||50679||||after tax|5,00000000000000000000
||50686||||after tax|5,00000000000000000000
||50689||||after tax|5,00000000000000000000
||50733||||after tax|5,00000000000000000000
||50735||||after tax|5,00000000000000000000
||50737||||after tax|5,00000000000000000000
||50739||||after tax|5,00000000000000000000
||50765||||after tax|5,00000000000000000000
||50767||||after tax|5,00000000000000000000
||50769||||after tax|5,00000000000000000000
||50773||||after tax|5,00000000000000000000
||50823||||after tax|5,00000000000000000000
||50825||||after tax|5,00000000000000000000
||50827||||after tax|5,00000000000000000000
||50829||||after tax|5,00000000000000000000
||50837||||after tax|5,00000000000000000000
||50858||||after tax|5,00000000000000000000
||50859||||after tax|5,00000000000000000000
||50868||||after tax|5,00000000000000000000
||50879||||after tax|5,00000000000000000000
||50931||||after tax|5,00000000000000000000
||50933||||after tax|5,00000000000000000000
||50935||||after tax|5,00000000000000000000
||50937||||after tax|5,00000000000000000000
||50939||||after tax|5,00000000000000000000
||50968||||after tax|5,00000000000000000000
||50969||||after tax|5,00000000000000000000
||50977||||after tax|5,00000000000000000000
||50996||||after tax|5,00000000000000000000
||50997||||after tax|5,00000000000000000000
||50999||||after tax|5,00000000000000000000
||51061||||after tax|5,00000000000000000000
||51063||||after tax|5,00000000000000000000
||51065||||after tax|5,00000000000000000000
||51067||||after tax|5,00000000000000000000
||51069||||after tax|5,00000000000000000000
||51103||||after tax|5,00000000000000000000
||51105||||after tax|5,00000000000000000000
||51107||||after tax|5,00000000000000000000
||51109||||after tax|5,00000000000000000000
||51143||||after tax|5,00000000000000000000
||51145||||after tax|5,00000000000000000000
||51147||||after tax|5,00000000000000000000
||51149||||after tax|5,00000000000000000000
||53607||||after tax|5,00000000000000000000
||DE-50667||||after tax|5,00000000000000000000
1||||25,5000000000000000|,0000000000000000||
2||||,0000000000000000|,0000000000000000||
3||||,0000000000000000|,0000000000000000||
4||||,0000000000000000|,0000000000000000||
5||||20,0000000000000000|,0000000000000000||
6||||,0000000000000000|,0000000000000000||
7||||,0000000000000000|,0000000000000000||
8||||10,5000000000000000|,0000000000000000||
9||||21,0000000000000000|,0000000000000000||
10||||10,0000000000000000|,0000000000000000||
11||||,0000000000000000|,0000000000000000||
12||||15,0000000000000000|,0000000000000000||
13||||26,5000000000000000|,0000000000000000||
14||||,0000000000000000|,0000000000000000||
15||||6,0000000000000000|,0000000000000000||
16||||,0000000000000000|,0000000000000000||
17||||,0000000000000000|,0000000000000000||
18||||,0000000000000000|,0000000000000000||
19||||,0000000000000000|,0000000000000000||
20||||,0000000000000000|,0000000000000000||
21||||16,0000000000000000|,0000000000000000||
22||||,0000000000000000|,0000000000000000||
23||||17,0000000000000000|,0000000000000000||
24||||,0000000000000000|,0000000000000000||
25||||9,0000000000000000|,0000000000000000||
26||||,0000000000000000|,0000000000000000||
27||||,0000000000000000|,0000000000000000||
28||||19,0000000000000000|,0000000000000000||
29||||23,0000000000000000|,0000000000000000||
30||||5,0000000000000000|,0000000000000000||
31||||16,3900000000000000|,0000000000000000||
32||||25,0000000000000000|,0000000000000000||
